0,,,,,,
111.92,0,,,,,
234.4,206.52,0,,,,
234.6,199.02,81.9,0,,,
154.6,126.52,130.6,123.1,0,,
229.5,201.42,5.1,76.8,125.5,0,
234.5,206.42,10.1,81.8,130.5,5,0
